Nível,Conta / Descrição Detalhada,out. 2024,nov. 2024,dez. 2024,jan. 25,fev. 25,mar. 25,abr. 25,mai. 25,jun. 25,jul. 25,ago. 25,set. 25,out. 25,nov. 25,dez. 25,jan. 26,fev. 26
1,(+) Vendas PIX / Dinheiro,"R$ 0,00","R$ 0,00","R$ 359,40","R$ 2.665,11","R$ 2.817,00","R$ 3.400,20","R$ 4.507,80","R$ 7.346,90","R$ 6.823,00","R$ 8.801,60","R$ 8.866,00","R$ 12.412,00","R$ 11.525,02","R$ 13.555,31","R$ 16.656,97","R$ 12.682,49","R$ 13.425,65"
1,(+) Venda de Ativos/Equipamentos,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 133.000,00","R$ 0,00","R$ 0,00","R$ 0,00"
1,(+) Locacao,"R$ 10.000,00","R$ 0,00","R$ 2.850,95","R$ 3.000,00","R$ 6.200,00","R$ 6.081,00","R$ 4.700,00","R$ 5.100,00","R$ 6.200,00","R$ 5.000,00","R$ 5.700,00","R$ 2.700,00","R$ 3.500,00","R$ 2.700,00","R$ 800,00","R$ 1.600,00","R$ 2.600,00"
1,(+) Vendas Cartão de Crédito/Débito,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
1,TOTAL RECEITA BRUTA,"R$ 10.000,00","R$ 0,00","R$ 3.210,35","R$ 5.665,11","R$ 9.017,00","R$ 9.481,20","R$ 9.207,80","R$ 12.446,90","R$ 13.023,00","R$ 13.801,60","R$ 14.566,00","R$ 15.112,00","R$ 15.025,02","R$ 149.255,31","R$ 17.456,97","R$ 14.282,49","R$ 16.025,65"
,,,,,,,,,,,,,,,,,,
2,(-) Impostos sobre Notas (Simples Nacional/ISS),"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 268,09","R$ 325,44","R$ 302,91","R$ 328,06","R$ 455,28","R$ 506,21","R$ 661,29","R$ 1.825,76","R$ 1.089,83","R$ 1.002,90","R$ 825,64","R$ 1.267,34","R$ 1.415,01"
2,(-) Estornos e Cancelamentos de Pacotes,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 59,90","R$ 0,00","R$ 59,90","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 448,10","R$ 125,52"
,,,,,,,,,,,,,,,,,,
3,(=) RECEITA LÍQUIDA,"R$ 10.000,00","R$ 0,00","R$ 3.210,35","R$ 5.665,11","R$ 8.748,91","R$ 9.155,76","R$ 8.904,89","R$ 12.118,84","R$ 12.507,82","R$ 13.295,39","R$ 13.844,81","R$ 13.286,24","R$ 13.935,19","R$ 148.252,41","R$ 16.631,33","R$ 12.567,05","R$ 14.485,12"
,,,,,,,,,,,,,,,,,,
4,(-) Taxas de Maquininha e Antecipação,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 37,36","R$ 211,54","R$ 179,18","R$ 502,22"
4,(-) Comissões (Aplicadoras/Esteticistas),"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
4,(-) Locação/Frete,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 1.285,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
4,(-) Insumos da Variavel ,"R$ 1.477,84","R$ 0,00",,"R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00","R$ 0,00"
